"Name","Runtime","End Time","Notes","Updated","Tags","avg_test_acc","avg_test_loss","test_acc_epoch","test_acc_step","test_loss_epoch","test_loss_step","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","val_acc","val_acc_epoch","val_acc_step","val_loss","val_loss_epoch","val_loss_step","x1_test_acc","x1_val_acc","x2_test_acc","x2_val_acc"
"lilac-feather-180","320","2024-03-08T03:06:27.000Z","-","2024-03-08T03:06:27.000Z","","0.7590891122817993","0.6615892648696899","0.7590435147285461","0.8333333730697632","0.6616920232772827","0.49392902851104736","0.7748438119888306","0.8461538553237915","0.6281359195709229","0.6356905698776245","0.7895431518554688","0.7896350622177124","0.6896551847457886","0.6022770404815674","0.6022252440452576","0.658447265625","0.7437155246734619","0.7739956974983215","0.7118332386016846","0.7497699856758118"
"amber-vortex-173","320","2024-03-08T03:06:27.000Z","-","2024-03-08T03:06:27.000Z","","0.7804534435272217","0.620672345161438","0.7805027365684509","0.7000000476837158","0.6206507086753845","0.6560760736465454","0.7738857269287109","0.46153849363327026","0.6305419206619263","1.236191987991333","0.7771720886230469","0.7770622372627258","0.8965517282485962","0.6287360191345215","0.628926157951355","0.42196759581565857","0.7529123425483704","0.7555964589118958","0.7314531207084656","0.7439435720443726"
"sage-bush-183","318","2024-03-08T03:06:25.000Z","-","2024-03-08T03:06:25.000Z","","0.78020840883255","0.6256149411201477","0.7801961898803711","0.8000000715255737","0.625596284866333","0.6559712886810303","0.7753803730010986","0.7692307829856873","0.6265567541122437","0.4153771102428436","0.7774151563644409","0.7773689031600952","0.8275861740112305","0.6501719951629639","0.6502968668937683","0.514433741569519","0.7621091604232788","0.7620362043380737","0.725321888923645","0.7276908755302429"
"trim-morning-186","320","2024-03-08T03:06:27.000Z","-","2024-03-08T03:06:27.000Z","","0.7642770409584045","0.648473858833313","0.7642550468444824","0.8000000715255737","0.6485211253166199","0.5713205933570862","0.774154007434845","0.7692307829856873","0.6312220096588135","0.7406663298606873","0.7878000736236572","0.7877951264381409","0.7931034564971924","0.5944612622261047","0.5945241451263428","0.5261461734771729","0.7483139038085938","0.7743023633956909","0.7219497561454773","0.7608095407485962"
"different-field-169","319","2024-03-08T03:06:26.000Z","-","2024-03-08T03:06:26.000Z","","0.7752247452735901","0.6387738585472107","0.7752912044525146","0.6666666865348816","0.6386142373085022","0.8990498781204224","0.778369665145874","0.8461538553237915","0.6229947209358215","0.40691667795181274","0.7541308403015137","0.7540631890296936","0.8275861740112305","0.6704426407814026","0.670668363571167","0.4251582622528076","0.7538320422172546","0.7338239550590515","0.7152054309844971","0.7105182409286499"
"sweet-durian-180","320","2024-03-08T03:06:27.000Z","-","2024-03-08T03:06:27.000Z","","0.7814338803291321","0.6143248677253723","0.7814224362373352","0.8000000715255737","0.614285945892334","0.6779072880744934","0.7749971151351929","0.9230769872665404","0.6288325786590576","0.3311767578125","0.7731892466545105","0.7730757594108582","0.8965517282485962","0.6454565525054932","0.6457033157348633","0.3772793412208557","0.7639485001564026","0.7531431913375854","0.7317596673965454","0.7279975414276123"
"frosty-firefly-168","311","2024-03-08T03:06:18.000Z","-","2024-03-08T03:06:18.000Z","","0.7783905863761902","0.6213929653167725","0.7783568501472473","0.8333333730697632","0.6213880777359009","0.6294596195220947","0.77645343542099","0.5384615659713745","0.6272843480110168","0.9908729195594788","0.7626775503158569","0.7626494765281677","0.7931034564971924","0.6553589701652527","0.6554122567176819","0.5973994731903076","0.7480073571205139","0.7467034459114075","0.7283874750137329","0.7025452256202698"
"glorious-monkey-187","320","2024-03-08T03:06:27.000Z","-","2024-03-08T03:06:27.000Z","","0.7712827324867249","0.6598315238952637","0.7713059186935425","0.7333333492279053","0.6597856283187866","0.7344034910202026","0.7776798605918884","0.7692307829856873","0.6222495436668396","0.5973463654518127","0.7673364877700806","0.7672492861747742","0.8620689511299133","0.6575562953948975","0.6576902866363525","0.5117987394332886","0.750766396522522","0.7411836981773376","0.7231760025024414","0.7203311920166016"
"volcanic-sound-183","319","2024-03-08T03:06:26.000Z","-","2024-03-08T03:06:26.000Z","","0.7655637860298157","0.6517765522003174","0.7654812932014465","0.9000000357627869","0.6519520282745361","0.3655415773391723","0.7748821377754211","0.692307710647583","0.6298009157180786","0.6097317934036255","0.7806267142295837","0.7807421088218689","0.6551724076271057","0.6186652183532715","0.6182987689971924","1.0170519351959229","0.7559779286384583","0.7620362043380737","0.7222563028335571","0.7411836981773376"
"pretty-dust-185","319","2024-03-08T03:06:26.000Z","-","2024-03-08T03:06:26.000Z","","0.7718546390533447","0.6454916596412659","0.7719190716743469","0.6666666865348816","0.6453862190246582","0.8175293207168579","0.7769516706466675","0.8461538553237915","0.6257311105728149","0.3486492335796356","0.764241099357605","0.7641827464103699","0.8275861740112305","0.6449487805366516","0.6450356841087341","0.550227701663971","0.7495401501655579","0.7513032555580139","0.7170447707176208","0.7221711277961731"
"upbeat-glitter-162","320","2024-03-08T02:41:27.000Z","-","2024-03-08T02:41:27.000Z","","0.7731618285179138","0.6169901490211487","0.773145318031311","0.8000000715255737","0.6170220375061035","0.564715564250946","0.7754570245742798","0.8461538553237915","0.6284692883491516","0.5119441151618958","0.7761896252632141","0.7761422991752625","0.8275861740112305","0.6381393074989319","0.6382368206977844","0.5321981310844421","0.7568976283073425","0.7562097311019897","0.7360514998435974","0.7292241454124451"
"icy-wave-154","320","2024-03-08T02:41:27.000Z","-","2024-03-08T02:41:27.000Z","","0.778043270111084","0.6158336997032166","0.7780503034591675","0.7666667103767395","0.6158061623573303","0.660778820514679","0.7720844745635986","0.7692307829856873","0.631324291229248","0.5403207540512085","0.7811232209205627","0.7810487747192383","0.8620689511299133","0.6340051293373108","0.6342480182647705","0.3699361979961395","0.7532188892364502","0.7620362043380737","0.7283874750137329","0.7221711277961731"
"apricot-waterfall-157","320","2024-03-08T02:41:27.000Z","-","2024-03-08T02:41:27.000Z","","0.7683007121086121","0.6306881904602051","0.7682403326034546","0.8666667342185974","0.630799412727356","0.4492228329181671","0.7764917612075806","0.9230769872665404","0.6277999877929688","0.3017202615737915","0.773548424243927","0.7736890316009521","0.6206896305084229","0.6349833011627197","0.6347021460533142","0.9406022429466248","0.7431023716926575","0.7546764612197876","0.7323727607727051","0.7212511301040649"
"wobbly-dream-164","320","2024-03-08T02:41:27.000Z","-","2024-03-08T02:41:27.000Z","","0.7708742022514343","0.6466905474662781","0.7709993720054626","0.5666667222976685","0.6465216279029846","0.921856701374054","0.7780247330665588","0.9230769872665404","0.6221628189086914","0.3961275517940521","0.7616949677467346","0.7617295384407043","0.7241379022598267","0.6672921776771545","0.6672577261924744","0.704463541507721","0.7473942637443542","0.7399570941925049","0.7305334210395813","0.7227843999862671"
"atomic-dream-160","320","2024-03-08T02:41:27.000Z","-","2024-03-08T02:41:27.000Z","","0.7853758931159973","0.604878306388855","0.7854077219963074","0.7333333492279053","0.6047603487968445","0.7971537113189697","0.7741923332214355","0.7692307829856873","0.6310530304908752","0.7469200491905212","0.7734323143959045","0.7733824253082275","0.8275861740112305","0.6355025768280029","0.635592520236969","0.5376229286193848","0.7636419534683228","0.7451701760292053","0.7320662140846252","0.7310640811920166"
"young-grass-156","320","2024-03-08T02:41:27.000Z","-","2024-03-08T02:41:27.000Z","","0.7781250476837158","0.614128589630127","0.7780503034591675","0.9000000357627869","0.6142714619636536","0.3812052309513092","0.77315753698349","0.7692307829856873","0.6294611096382141","0.685791015625","0.7817043662071228","0.7816620469093323","0.8275861740112305","0.6344594955444336","0.6345782279968262","0.5052279829978943","0.7584304213523865","0.7623428702354431","0.7342121601104736","0.7286108732223511"
"zesty-gorge-166","311","2024-03-08T02:41:18.000Z","-","2024-03-08T02:41:18.000Z","","0.7688317894935608","0.6532820463180542","0.768853485584259","0.7333333492279053","0.6533047556877136","0.616406261920929","0.7770666480064392","0.8461538553237915","0.6226487159729004","0.3868032693862915","0.7653714418411255","0.7654094099998474","0.7241379022598267","0.6412114500999451","0.6409578323364258","0.9168574810028076","0.7559779286384583","0.7451701760292053","0.7170447707176208","0.7258509397506714"
"stellar-wave-167","311","2024-03-08T02:41:18.000Z","-","2024-03-08T02:41:18.000Z","","0.7682802677154541","0.6509079337120056","0.7682403326034546","0.8333333730697632","0.6510064601898193","0.4903360903263092","0.7776032090187073","0.6153846383094788","0.6246824264526367","0.92169189453125","0.7696606516838074","0.7697025537490845","0.7241379022598267","0.6423391103744507","0.6421485543251038","0.8495904207229614","0.75352543592453","0.747930109500885","0.7188841104507446","0.7237043976783752"
"good-bird-153","321","2024-03-08T02:41:28.000Z","-","2024-03-08T02:41:28.000Z","","0.7664624452590942","0.6598087549209595","0.7664009928703308","0.8666667342185974","0.6599646210670471","0.4052988588809967","0.7762234807014465","0.9230769872665404","0.6257522106170654","0.6073045134544373","0.7749324440956116","0.7749156951904297","0.7931034564971924","0.6324788331985474","0.6324170827865601","0.6995344758033752","0.7431023716926575","0.7617295384407043","0.7305334210395813","0.737810492515564"
"rural-forest-157","321","2024-03-08T02:41:28.000Z","-","2024-03-08T02:41:28.000Z","","0.7700164318084717","0.6321830153465271","0.7700797319412231","0.6666666865348816","0.6320385932922363","0.867785632610321","0.7777948379516602","0.7692307829856873","0.626021683216095","0.3726525008678436","0.7616632580757141","0.7617295384407043","0.6896551847457886","0.6603701114654541","0.6600791215896606","0.9766256213188172","0.7532188892364502","0.7454768419265747","0.7158185243606567","0.7160380482673645"
"mild-galaxy-164","320","2024-03-08T02:41:27.000Z","-","2024-03-08T02:41:27.000Z","","0.7672998905181885","0.6500535607337952","0.7673206329345703","0.7333333492279053","0.6500515937805176","0.6531819701194763","0.7744605541229248","0.8461538553237915","0.6283720135688782","0.3832726180553436","0.7786089181900024","0.778595507144928","0.7931034564971924","0.6320422291755676","0.6320871114730835","0.5831488370895386","0.7394236922264099","0.7534498572349548","0.718271017074585","0.7252376675605774"
"efficient-firebrand-159","320","2024-03-08T02:41:27.000Z","-","2024-03-08T02:41:27.000Z","","0.7783905863761902","0.6517178416252136","0.7783568501472473","0.8333333730697632","0.6518515944480896","0.4335835874080658","0.7766450643539429","0.7692307829856873","0.6240143179893494","0.8931086659431458","0.7739816308021545","0.7739956974983215","0.7586206793785095","0.6379889845848083","0.6379998922348022","0.6262364983558655","0.7458614706993103","0.7516099214553833","0.7213366031646729","0.7243176698684692"
"different-voice-161","321","2024-03-08T02:41:28.000Z","-","2024-03-08T02:41:28.000Z","","0.7687909007072449","0.6407713890075684","0.768853485584259","0.6666666865348816","0.6406651139259338","0.8140584230422974","0.7757636308670044","0.7692307829856873","0.6267688274383545","0.530808687210083","0.7765276432037354","0.7764489650726318","0.8620689511299133","0.6229705810546875","0.6231659650802612","0.4106908440589905","0.7461680173873901","0.7559031248092651","0.7158185243606567","0.7258509397506714"
"wandering-oath-155","318","2024-03-08T02:41:25.000Z","-","2024-03-08T02:41:25.000Z","","0.7703022956848145","0.6405693888664246","0.770386278629303","0.6333333849906921","0.6404298543930054","0.8684682250022888","0.7746905088424683","0.692307710647583","0.6280946135520935","0.6288546323776245","0.7819156050682068","0.7819687128067017","0.7241379022598267","0.6171780824661255","0.6171239614486694","0.676025390625","0.7434089779853821","0.7552897930145264","0.7323727607727051","0.7359705567359924"
"breezy-moon-163","320","2024-03-08T02:41:27.000Z","-","2024-03-08T02:41:27.000Z","","0.7721813917160034","0.6365004181861877","0.7722256183624268","0.7000000476837158","0.6364659070968628","0.6924123167991638","0.7783313393592834","0.692307710647583","0.6228320598602295","0.7220247983932495","0.765952467918396","0.7660226821899414","0.6896551847457886","0.656295657157898","0.6561827063560486","0.7788149118423462","0.7486205101013184","0.7436369061470032","0.7290006279945374","0.7181845903396606"
"dutiful-firefly-150","324","2024-03-08T02:41:30.000Z","-","2024-03-08T02:41:30.000Z","","0.7722835540771484","0.6405922770500183","0.7722256183624268","0.8666667342185974","0.6407611966133118","0.3649454712867737","0.7756103277206421","0.692307710647583","0.6264025568962097","1.156048059463501","0.7813979983329773","0.7813554406166077","0.8275861740112305","0.623893141746521","0.6238403916358948","0.6812323331832886","0.7611894607543945","0.7568230628967285","0.7228693962097168","0.7307574152946472"
"upbeat-music-149","320","2024-03-08T02:41:26.000Z","-","2024-03-08T02:41:26.000Z","","0.7703636288642883","0.641096830368042","0.770386278629303","0.7333333492279053","0.6410605311393738","0.7004231810569763","0.7738090753555298","0.8461538553237915","0.6298460960388184","0.4342134892940521","0.7724497318267822","0.7724624276161194","0.7586206793785095","0.6341205835342407","0.6340087056159973","0.755488932132721","0.7489270567893982","0.754983127117157","0.7326793670654297","0.720637857913971"
"sleek-wood-148","312","2024-03-08T02:41:18.000Z","-","2024-03-08T02:41:18.000Z","","0.782618522644043","0.6386973857879639","0.7826486825942993","0.7333333492279053","0.6386258006095886","0.7554565668106079","0.7723910808563232","0.692307710647583","0.632319450378418","0.8383413553237915","0.7923956513404846","0.7923949956893921","0.7931034564971924","0.5863090753555298","0.586410641670227","0.4760384261608124","0.7581238746643066","0.7678626179695129","0.7326793670654297","0.7516099214553833"
"good-sea-151","308","2024-03-08T02:41:14.000Z","-","2024-03-08T02:41:14.000Z","","0.7657272219657898","0.6404086947441101","0.7657878398895264","0.6666666865348816","0.6402968764305115","0.8227691650390625","0.777449905872345","0.8461538553237915","0.626613199710846","0.3185189962387085","0.7630789875984192","0.7629561424255371","0.8965517282485962","0.6358479857444763","0.6359602808952332","0.5137434601783752","0.7440220713615417","0.7476234436035156","0.7133660316467285","0.7043851613998413"
"sandy-cosmos-152","323","2024-03-08T02:41:29.000Z","-","2024-03-08T02:41:29.000Z","","0.7761847376823425","0.6260518431663513","0.7762109041213989","0.7333333492279053","0.625971794128418","0.7569112181663513","0.7767983675003052","0.9230769872665404","0.625552773475647","0.3219745457172394","0.7610505223274231","0.7611162066459656","0.6896551847457886","0.6547030806541443","0.6545537710189819","0.8170860409736633","0.750766396522522","0.748543381690979","0.7314531207084656","0.7212511301040649"
"worthy-firebrand-146","127","2024-03-08T02:34:53.000Z","-","2024-03-08T02:34:53.000Z","","0.7574959993362427","0.6547023057937622","0.7575107216835022","0.7333333492279053","0.6546130776405334","0.8001200556755066","0.7787145972251892","0.7692307829856873","0.6227929592132568","0.3948129415512085","0.7686147689819336","0.7687825560569763","0.5862069129943848","0.6452981233596802","0.644927442073822","1.0482851266860962","0.742182731628418","0.7509966492652893","0.7148988246917725","0.7264642715454102"
"classic-water-146","123","2024-03-08T02:34:49.000Z","-","2024-03-08T02:34:49.000Z","","0.765114426612854","0.6567205190658569","0.7651747465133667","0.6666666865348816","0.65667325258255","0.7335530519485474","0.7779480814933777","0.692307710647583","0.6238110661506653","0.7197923064231873","0.765677809715271","0.765716016292572","0.7241379022598267","0.6420213580131531","0.6419845819473267","0.6822720170021057","0.7461680173873901","0.7513032555580139","0.7170447707176208","0.712051510810852"
"dark-sound-143","144","2024-03-08T02:35:10.000Z","-","2024-03-08T02:35:10.000Z","","0.7655637860298157","0.6440631747245789","0.7654812932014465","0.9000000357627869","0.6442273855209351","0.3762715756893158","0.7771816253662109","0.7692307829856873","0.6259253025054932","0.4306265115737915","0.7772882580757141","0.7773689031600952","0.6896551847457886","0.6208856701850891","0.6206762790679932","0.8486201763153076","0.7581238746643066","0.7617295384407043","0.716738224029541","0.7322906851768494"
"colorful-field-144","130","2024-03-08T02:34:56.000Z","-","2024-03-08T02:34:56.000Z","","0.7741422057151794","0.6298346519470215","0.7740650177001953","0.9000000357627869","0.6299887895584106","0.37834471464157104","0.7751887440681458","0.9230769872665404","0.6290019750595093","0.28961652517318726","0.7709178924560547","0.7709291577339172","0.7586206793785095","0.6510686278343201","0.6508663296699524","0.8708159327507019","0.7501533031463623","0.7565163969993591","0.7293071746826172","0.7237043976783752"
"solar-surf-145","127","2024-03-08T02:34:53.000Z","-","2024-03-08T02:34:53.000Z","","0.785723090171814","0.617774486541748","0.7857142686843872","0.8000000715255737","0.6178392171859741","0.5120869874954224","0.7750354409217834","0.9230769872665404","0.6270886063575745","0.4283916652202606","0.7679175734519958","0.7678626179695129","0.8275861740112305","0.6470084190368652","0.6470509767532349","0.6007795929908752","0.7667075395584106","0.7482367157936096","0.7372777462005615","0.7157313823699951"
"magical-smooch-217","126","2024-02-14T07:21:19.000Z","-","2024-02-14T07:21:19.000Z","","0.7633578777313232","0.6553020477294922","0.7633354067802429","0.8000000715255737","0.6551856398582458","0.8450337648391724","0.7749204635620117","0.7692307829856873","0.6278854608535767","0.5087233185768127","0.7864478230476379","0.7865685224533081","0.6551724076271057","0.6113507747650146","0.6110464930534363","0.9420418739318848","0.7397302389144897","0.7669426798820496","0.7115266919136047","0.737810492515564"
"darling-flower-216","126","2024-02-14T07:21:14.000Z","-","2024-02-14T07:21:14.000Z","","0.7774102091789246","0.6272056698799133","0.777437150478363","0.7333333492279053","0.6271324753761292","0.7464945316314697","0.776185154914856","0.8461538553237915","0.6230835318565369","0.3949443995952606","0.7666921019554138","0.7666360139846802","0.8275861740112305","0.6597879528999329","0.6600020527839661","0.4269745945930481","0.7519926428794861","0.7396504282951355","0.7418761849403381","0.7086783051490784"
"inviting-lovebird-215","126","2024-02-14T07:21:13.000Z","-","2024-02-14T07:21:13.000Z","","0.7811479568481445","0.6153502464294434","0.7811158895492554","0.8333333730697632","0.6154353022575378","0.4765157103538513","0.7731958627700806","0.7692307829856873","0.6320204138755798","0.6649545431137085","0.7813979983329773","0.7813554406166077","0.8275861740112305","0.6382125020027161","0.6382226943969727","0.6271256804466248","0.7633354067802429","0.7608095407485962","0.7375842928886414","0.7283042073249817"
"breathtaking-rose-214","129","2024-02-14T07:21:06.000Z","-","2024-02-14T07:21:06.000Z","","0.7758783102035522","0.6343761086463928","0.7759043574333191","0.7333333492279053","0.6344122290611267","0.5751485228538513","0.7741156816482544","0.692307710647583","0.6325139999389648","0.7898887991905212","0.7738548517227173","0.7739956974983215","0.6206896305084229","0.6191017627716064","0.6187390685081482","1.0135118961334229","0.7565910816192627","0.754369854927063","0.7314531207084656","0.7408770322799683"
"candlelit-smooch-213","127","2024-02-14T07:21:00.000Z","-","2024-02-14T07:21:00.000Z","","0.7832925319671631","0.6074836254119873","0.783261775970459","0.8333333730697632","0.607395589351654","0.751220703125","0.7741156816482544","0.692307710647583","0.627877414226532","0.7100735902786255","0.7565500736236572","0.7565163969993591","0.7931034564971924","0.680279552936554","0.6803798079490662","0.5714574456214905","0.7725322246551514","0.7279975414276123","0.7247087955474854","0.7074517011642456"
